Description:	Multilevel blocked dgemm.

32	22.2
64	20.7
128	12.8
256	14.5
511	13.8
512	14.3
513	15.2
543	19.5
544	19.5
545	19.8
575	19.1
576	18.9
577	19.4
607	19.1
608	19.7
609	19.9
639	16.5
640	16.9
641	18.4
671	19.4
672	19.3
673	19.3
703	20
704	19.5
705	19.8
735	19.6
736	19.1
737	20.4
767	16.3
768	16.6
769	17.1
799	18.8
800	19
801	20
831	19
832	18.3
833	20.1
863	19.8
864	19.8
865	20
895	16.5
896	17
897	19.6
927	19.8
928	19.2
929	19.6
959	20.2
960	18.7
961	20.4
991	19.8
992	19.5
993	19.3
1023	14.1
1024	14.4
1025	14
2047	13.1
2048	13.2
