Description:	Naive, three-loop dgemm.

Size: 32	Gflop/s: 1.75
Size: 33	Gflop/s: 1.93
Size: 63	Gflop/s: 1.85
Size: 64	Gflop/s: 1.66
Size: 65	Gflop/s: 1.9
Size: 127	Gflop/s: 1.87
Size: 128	Gflop/s: 1.49
Size: 129	Gflop/s: 1.84
Size: 255	Gflop/s: 1.7
Size: 256	Gflop/s: 0.886
Size: 257	Gflop/s: 1.71
Size: 511	Gflop/s: 1.69
Size: 512	Gflop/s: 0.84
Size: 513	Gflop/s: 1.66
Size: 1023	Gflop/s: 1.19
Size: 1024	Gflop/s: 0.144
Size: 1025	Gflop/s: 1.12
Size: 2047	Gflop/s: 0.123
Size: 2048	Gflop/s: 0.133
Size: 2049	Gflop/s: 0.124
