Description:	Optimized dgemm.

Size: 31	Gflop/s: 9.45
Size: 32	Gflop/s: 10.5
Size: 33	Gflop/s: 11.5
Size: 63	Gflop/s: 29
Size: 64	Gflop/s: 28.6
Size: 65	Gflop/s: 32.3
Size: 95	Gflop/s: 47.7
Size: 96	Gflop/s: 50.7
Size: 97	Gflop/s: 28.5
Size: 127	Gflop/s: 38.4
Size: 128	Gflop/s: 39.5
Size: 129	Gflop/s: 40.5
Size: 159	Gflop/s: 44.3
Size: 160	Gflop/s: 45.1
Size: 161	Gflop/s: 45.9
Size: 191	Gflop/s: 49.4
Size: 192	Gflop/s: 50.1
Size: 193	Gflop/s: 37.1
Size: 223	Gflop/s: 40.7
Size: 224	Gflop/s: 41.2
Size: 225	Gflop/s: 41.6
Size: 255	Gflop/s: 45.4
Size: 256	Gflop/s: 46.2
Size: 257	Gflop/s: 46.7
Size: 287	Gflop/s: 50.5
Size: 288	Gflop/s: 51.1
Size: 289	Gflop/s: 40.9
Size: 319	Gflop/s: 43.3
Size: 320	Gflop/s: 43.8
Size: 321	Gflop/s: 44
Size: 351	Gflop/s: 46.4
Size: 352	Gflop/s: 47
Size: 353	Gflop/s: 47.4
Size: 383	Gflop/s: 43.1
Size: 384	Gflop/s: 43.6
Size: 385	Gflop/s: 41.7
Size: 415	Gflop/s: 44.8
Size: 416	Gflop/s: 45.2
Size: 417	Gflop/s: 45.3
Size: 447	Gflop/s: 48.2
Size: 448	Gflop/s: 48.8
Size: 449	Gflop/s: 49.2
Size: 479	Gflop/s: 52.5
Size: 480	Gflop/s: 52.9
Size: 481	Gflop/s: 43.6
Size: 511	Gflop/s: 46.8
Size: 512	Gflop/s: 46.8
Size: 513	Gflop/s: 46.9
Size: 543	Gflop/s: 50.1
Size: 544	Gflop/s: 48.7
Size: 545	Gflop/s: 48.1
Size: 575	Gflop/s: 49.1
Size: 576	Gflop/s: 48.5
Size: 577	Gflop/s: 44.2
Size: 607	Gflop/s: 44.6
Size: 608	Gflop/s: 46.5
Size: 609	Gflop/s: 47.6
Size: 639	Gflop/s: 50.7
Size: 640	Gflop/s: 51.1
Size: 641	Gflop/s: 51
Size: 671	Gflop/s: 52.4
Size: 672	Gflop/s: 52.9
Size: 673	Gflop/s: 47.8
Size: 703	Gflop/s: 49.4
Size: 704	Gflop/s: 51.2
Size: 705	Gflop/s: 47.6
Size: 735	Gflop/s: 49.4
Size: 736	Gflop/s: 48.1
Size: 737	Gflop/s: 47
Size: 767	Gflop/s: 44.6
Size: 768	Gflop/s: 44.6
Size: 769	Gflop/s: 49.2
Size: 799	Gflop/s: 45.5
Size: 800	Gflop/s: 49.3
Size: 801	Gflop/s: 46
Size: 831	Gflop/s: 52.4
Size: 832	Gflop/s: 51.7
Size: 833	Gflop/s: 52.5
Size: 863	Gflop/s: 51.2
Size: 864	Gflop/s: 49.9
Size: 865	Gflop/s: 47.6
Size: 895	Gflop/s: 47.5
Size: 896	Gflop/s: 45.9
Size: 897	Gflop/s: 47.5
Size: 927	Gflop/s: 51.2
Size: 928	Gflop/s: 50.3
Size: 929	Gflop/s: 47.9
Size: 959	Gflop/s: 49.9
Size: 960	Gflop/s: 49.3
Size: 961	Gflop/s: 46.4
Size: 991	Gflop/s: 43.8
Size: 992	Gflop/s: 46.6
Size: 993	Gflop/s: 44.9
Size: 1023	Gflop/s: 44.3
Size: 1024	Gflop/s: 45
Size: 1025	Gflop/s: 45.4
