Description:	Multilevel blocked dgemm.

L1 Block Size: 32
L2 Block Size: 96
L3 Block Size: 1056
Size: 511	Gflop/s: 7.98
Size: 512	Gflop/s: 5.68
Size: 513	Gflop/s: 7.51
Size: 543	Gflop/s: 10.4
Size: 544	Gflop/s: 10.9
Size: 545	Gflop/s: 10.6
Size: 575	Gflop/s: 10.4
Size: 576	Gflop/s: 10.3
Size: 577	Gflop/s: 10.4
Size: 607	Gflop/s: 10.3
Size: 608	Gflop/s: 10.4
Size: 609	Gflop/s: 10.3
Size: 639	Gflop/s: 10
Size: 640	Gflop/s: 8.45
Size: 641	Gflop/s: 10
Size: 671	Gflop/s: 10
Size: 672	Gflop/s: 10.3
Size: 673	Gflop/s: 10
Size: 703	Gflop/s: 10
Size: 704	Gflop/s: 10.1
Size: 705	Gflop/s: 9.98
Size: 735	Gflop/s: 10.1
Size: 736	Gflop/s: 10.3
Size: 737	Gflop/s: 10.1
Size: 767	Gflop/s: 9.27
Size: 768	Gflop/s: 6.57
Size: 769	Gflop/s: 9.06
Size: 799	Gflop/s: 10.1
Size: 800	Gflop/s: 10.2
Size: 801	Gflop/s: 10.1
Size: 831	Gflop/s: 9.48
Size: 832	Gflop/s: 9.37
Size: 833	Gflop/s: 9.91
Size: 863	Gflop/s: 9.94
Size: 864	Gflop/s: 10.2
Size: 865	Gflop/s: 10
Size: 895	Gflop/s: 10.1
Size: 896	Gflop/s: 9.21
Size: 897	Gflop/s: 10.1
Size: 927	Gflop/s: 9.98
Size: 928	Gflop/s: 10.1
Size: 929	Gflop/s: 10.1
Size: 959	Gflop/s: 10.1
Size: 960	Gflop/s: 9.99
Size: 961	Gflop/s: 9.97
Size: 991	Gflop/s: 9.95
Size: 992	Gflop/s: 10.1
Size: 993	Gflop/s: 9.95
Size: 1023	Gflop/s: 7.77
Size: 1024	Gflop/s: 5.05
Size: 1025	Gflop/s: 7.22
