Description:	Multilevel blocked dgemm.

L1 Block Size: 36
L2 Block Size: 104
L3 Block Size: 1144
Size: 511	Gflop/s: 5.19
Size: 512	Gflop/s: 2.63
Size: 513	Gflop/s: 5.1
Size: 543	Gflop/s: 5.12
Size: 544	Gflop/s: 4.21
Size: 545	Gflop/s: 5.24
Size: 575	Gflop/s: 5.32
Size: 576	Gflop/s: 4.02
Size: 577	Gflop/s: 5.34
Size: 607	Gflop/s: 5.24
Size: 608	Gflop/s: 4.26
Size: 609	Gflop/s: 5.31
Size: 639	Gflop/s: 5.28
Size: 640	Gflop/s: 3.61
Size: 641	Gflop/s: 5.26
Size: 671	Gflop/s: 5.21
Size: 672	Gflop/s: 4.22
Size: 673	Gflop/s: 5.28
Size: 703	Gflop/s: 5.2
Size: 704	Gflop/s: 3.97
Size: 705	Gflop/s: 5.3
Size: 735	Gflop/s: 5.21
Size: 736	Gflop/s: 4.18
Size: 737	Gflop/s: 5.3
Size: 767	Gflop/s: 5.31
Size: 768	Gflop/s: 3.25
Size: 769	Gflop/s: 5.27
Size: 799	Gflop/s: 5.25
Size: 800	Gflop/s: 4.19
Size: 801	Gflop/s: 5.29
Size: 831	Gflop/s: 5.24
Size: 832	Gflop/s: 3.97
Size: 833	Gflop/s: 5.22
Size: 863	Gflop/s: 5.12
Size: 864	Gflop/s: 4.13
Size: 865	Gflop/s: 5.19
Size: 895	Gflop/s: 5.32
Size: 896	Gflop/s: 3.63
Size: 897	Gflop/s: 5.29
Size: 927	Gflop/s: 5.26
Size: 928	Gflop/s: 4.2
Size: 929	Gflop/s: 5.26
Size: 959	Gflop/s: 5.2
Size: 960	Gflop/s: 3.95
Size: 961	Gflop/s: 5.29
Size: 991	Gflop/s: 5.2
Size: 992	Gflop/s: 4.19
Size: 993	Gflop/s: 5.25
Size: 1023	Gflop/s: 4.9
Size: 1024	Gflop/s: 2.49
Size: 1025	Gflop/s: 4.86
