Description:	Multilevel blocked dgemm.

L1 Block Size: 34
L2 Block Size: 102
L3 Block Size: 1122
Size: 511	Gflop/s: 4.73
Size: 512	Gflop/s: 2.54
Size: 513	Gflop/s: 4.6
Size: 543	Gflop/s: 4.74
Size: 544	Gflop/s: 3.81
Size: 545	Gflop/s: 4.75
Size: 575	Gflop/s: 4.84
Size: 576	Gflop/s: 3.56
Size: 577	Gflop/s: 4.86
Size: 607	Gflop/s: 4.79
Size: 608	Gflop/s: 3.84
Size: 609	Gflop/s: 4.81
Size: 639	Gflop/s: 4.8
Size: 640	Gflop/s: 3.22
Size: 641	Gflop/s: 4.78
Size: 671	Gflop/s: 4.81
Size: 672	Gflop/s: 3.85
Size: 673	Gflop/s: 4.81
Size: 703	Gflop/s: 4.82
Size: 704	Gflop/s: 3.56
Size: 705	Gflop/s: 4.84
Size: 735	Gflop/s: 4.8
Size: 736	Gflop/s: 3.83
Size: 737	Gflop/s: 4.79
Size: 767	Gflop/s: 4.78
Size: 768	Gflop/s: 3.01
Size: 769	Gflop/s: 4.77
Size: 799	Gflop/s: 4.76
Size: 800	Gflop/s: 3.83
Size: 801	Gflop/s: 4.76
Size: 831	Gflop/s: 4.75
Size: 832	Gflop/s: 3.53
Size: 833	Gflop/s: 4.79
Size: 863	Gflop/s: 4.69
Size: 864	Gflop/s: 3.8
Size: 865	Gflop/s: 4.74
Size: 895	Gflop/s: 4.8
Size: 896	Gflop/s: 3.25
Size: 897	Gflop/s: 4.77
Size: 927	Gflop/s: 4.7
Size: 928	Gflop/s: 3.78
Size: 929	Gflop/s: 4.73
Size: 959	Gflop/s: 4.71
Size: 960	Gflop/s: 3.49
Size: 961	Gflop/s: 4.77
Size: 991	Gflop/s: 4.71
Size: 992	Gflop/s: 3.77
Size: 993	Gflop/s: 4.73
Size: 1023	Gflop/s: 4.41
Size: 1024	Gflop/s: 2.28
Size: 1025	Gflop/s: 4.36
