Description:	Multilevel blocked dgemm.

L1 Block Size: 34
L2 Block Size: 102
L3 Block Size: 1122
Size: 511	Gflop/s: 5.9
Size: 512	Gflop/s: 4.41
Size: 513	Gflop/s: 5.02
Size: 543	Gflop/s: 7.73
Size: 544	Gflop/s: 6.67
Size: 545	Gflop/s: 7.62
Size: 575	Gflop/s: 7.25
Size: 576	Gflop/s: 6.22
Size: 577	Gflop/s: 7.71
Size: 607	Gflop/s: 7.64
Size: 608	Gflop/s: 6.65
Size: 609	Gflop/s: 7.67
Size: 639	Gflop/s: 7.51
Size: 640	Gflop/s: 5.66
Size: 641	Gflop/s: 7.53
Size: 671	Gflop/s: 7.6
Size: 672	Gflop/s: 6.62
Size: 673	Gflop/s: 7.6
Size: 703	Gflop/s: 7.56
Size: 704	Gflop/s: 6.19
Size: 705	Gflop/s: 7.63
Size: 735	Gflop/s: 7.64
Size: 736	Gflop/s: 6.63
Size: 737	Gflop/s: 7.56
Size: 767	Gflop/s: 7.51
Size: 768	Gflop/s: 5.21
Size: 769	Gflop/s: 7.49
Size: 799	Gflop/s: 7.47
Size: 800	Gflop/s: 6.6
Size: 801	Gflop/s: 7.47
Size: 831	Gflop/s: 7.24
Size: 832	Gflop/s: 5.99
Size: 833	Gflop/s: 7.34
Size: 863	Gflop/s: 7.29
Size: 864	Gflop/s: 6.4
Size: 865	Gflop/s: 7.45
Size: 895	Gflop/s: 7.49
Size: 896	Gflop/s: 5.67
Size: 897	Gflop/s: 7.42
Size: 927	Gflop/s: 7.37
Size: 928	Gflop/s: 6.52
Size: 929	Gflop/s: 7.43
Size: 959	Gflop/s: 7.38
Size: 960	Gflop/s: 6.02
Size: 961	Gflop/s: 7.5
Size: 991	Gflop/s: 7.46
Size: 992	Gflop/s: 6.45
Size: 993	Gflop/s: 7.41
Size: 1023	Gflop/s: 5.62
Size: 1024	Gflop/s: 3.87
Size: 1025	Gflop/s: 6.3
