Description:	Simple blocked dgemm.

Size: 511	Gflop/s: 2.1
Size: 512	Gflop/s: 2.04
Size: 513	Gflop/s: 2.08
Size: 543	Gflop/s: 2.13
Size: 544	Gflop/s: 2.11
Size: 545	Gflop/s: 2.13
Size: 575	Gflop/s: 2.11
Size: 576	Gflop/s: 2.11
Size: 577	Gflop/s: 2.11
Size: 607	Gflop/s: 2.14
Size: 608	Gflop/s: 2.12
Size: 609	Gflop/s: 2.11
Size: 639	Gflop/s: 2.14
Size: 640	Gflop/s: 2.08
Size: 641	Gflop/s: 2.14
Size: 671	Gflop/s: 2.07
Size: 672	Gflop/s: 2.07
Size: 673	Gflop/s: 2.12
Size: 703	Gflop/s: 2.08
Size: 704	Gflop/s: 2.11
Size: 705	Gflop/s: 2.1
Size: 735	Gflop/s: 2.1
Size: 736	Gflop/s: 2.12
Size: 737	Gflop/s: 2.12
Size: 767	Gflop/s: 2.12
Size: 768	Gflop/s: 2.08
Size: 769	Gflop/s: 2.1
Size: 799	Gflop/s: 2.08
Size: 800	Gflop/s: 2.09
Size: 801	Gflop/s: 2.11
Size: 831	Gflop/s: 2.09
Size: 832	Gflop/s: 2.1
Size: 833	Gflop/s: 2.1
Size: 863	Gflop/s: 2.11
Size: 864	Gflop/s: 2.09
Size: 865	Gflop/s: 2.07
Size: 895	Gflop/s: 2.11
Size: 896	Gflop/s: 2.08
Size: 897	Gflop/s: 2.1
Size: 927	Gflop/s: 2.1
Size: 928	Gflop/s: 2.08
Size: 929	Gflop/s: 2.08
Size: 959	Gflop/s: 2.1
Size: 960	Gflop/s: 2.08
Size: 961	Gflop/s: 2.09
Size: 991	Gflop/s: 2.1
Size: 992	Gflop/s: 2.07
Size: 993	Gflop/s: 2.06
Size: 1023	Gflop/s: 1.88
Size: 1024	Gflop/s: 1.79
Size: 1025	Gflop/s: 1.84
