Description:	Simple blocked dgemm.

Size: 511	Gflop/s: 2.17
Size: 512	Gflop/s: 1.02
Size: 513	Gflop/s: 2.18
Size: 543	Gflop/s: 2.3
Size: 544	Gflop/s: 1.77
Size: 545	Gflop/s: 2.28
Size: 575	Gflop/s: 2.23
Size: 576	Gflop/s: 1.58
Size: 577	Gflop/s: 2.25
Size: 607	Gflop/s: 2.26
Size: 608	Gflop/s: 1.77
Size: 609	Gflop/s: 2.26
Size: 639	Gflop/s: 2.23
Size: 640	Gflop/s: 1.46
Size: 641	Gflop/s: 2.24
Size: 671	Gflop/s: 2.2
Size: 672	Gflop/s: 1.75
Size: 673	Gflop/s: 2.11
Size: 703	Gflop/s: 2.19
Size: 704	Gflop/s: 1.59
Size: 705	Gflop/s: 2.21
Size: 735	Gflop/s: 2.17
Size: 736	Gflop/s: 1.74
Size: 737	Gflop/s: 2.21
Size: 767	Gflop/s: 2.2
Size: 768	Gflop/s: 1.36
Size: 769	Gflop/s: 2.16
Size: 799	Gflop/s: 2.13
Size: 800	Gflop/s: 1.73
Size: 801	Gflop/s: 2.14
Size: 831	Gflop/s: 2.13
Size: 832	Gflop/s: 1.58
Size: 833	Gflop/s: 2.15
Size: 863	Gflop/s: 2.13
Size: 864	Gflop/s: 1.74
Size: 865	Gflop/s: 2.14
Size: 895	Gflop/s: 2.19
Size: 896	Gflop/s: 1.49
Size: 897	Gflop/s: 2.1
Size: 927	Gflop/s: 2.11
Size: 928	Gflop/s: 1.73
Size: 929	Gflop/s: 2.11
Size: 959	Gflop/s: 2.12
Size: 960	Gflop/s: 1.56
Size: 961	Gflop/s: 2.12
Size: 991	Gflop/s: 2.12
Size: 992	Gflop/s: 1.72
Size: 993	Gflop/s: 2.12
Size: 1023	Gflop/s: 1.84
Size: 1024	Gflop/s: 0.929
Size: 1025	Gflop/s: 1.87
