Description:	Simple blocked dgemm.

Size: 511	Gflop/s: 0.51
Size: 512	Gflop/s: 0.506
Size: 513	Gflop/s: 0.509
Size: 543	Gflop/s: 0.508
Size: 544	Gflop/s: 0.508
Size: 545	Gflop/s: 0.501
Size: 575	Gflop/s: 0.509
Size: 576	Gflop/s: 0.51
Size: 577	Gflop/s: 0.509
Size: 607	Gflop/s: 0.508
Size: 608	Gflop/s: 0.508
Size: 609	Gflop/s: 0.506
Size: 639	Gflop/s: 0.509
Size: 640	Gflop/s: 0.508
Size: 641	Gflop/s: 0.51
Size: 671	Gflop/s: 0.508
Size: 672	Gflop/s: 0.506
Size: 673	Gflop/s: 0.507
Size: 703	Gflop/s: 0.508
Size: 704	Gflop/s: 0.506
Size: 705	Gflop/s: 0.511
Size: 735	Gflop/s: 0.508
Size: 736	Gflop/s: 0.507
Size: 737	Gflop/s: 0.503
Size: 767	Gflop/s: 0.513
Size: 768	Gflop/s: 0.51
Size: 769	Gflop/s: 0.512
Size: 799	Gflop/s: 0.511
Size: 800	Gflop/s: 0.513
Size: 801	Gflop/s: 0.51
Size: 831	Gflop/s: 0.501
Size: 832	Gflop/s: 0.51
Size: 833	Gflop/s: 0.508
Size: 863	Gflop/s: 0.497
Size: 864	Gflop/s: 0.508
Size: 865	Gflop/s: 0.508
Size: 895	Gflop/s: 0.513
Size: 896	Gflop/s: 0.506
Size: 897	Gflop/s: 0.51
Size: 927	Gflop/s: 0.508
Size: 928	Gflop/s: 0.51
Size: 929	Gflop/s: 0.508
Size: 959	Gflop/s: 0.508
Size: 960	Gflop/s: 0.506
Size: 961	Gflop/s: 0.508
Size: 991	Gflop/s: 0.511
Size: 992	Gflop/s: 0.513
Size: 993	Gflop/s: 0.513
Size: 1023	Gflop/s: 0.496
Size: 1024	Gflop/s: 0.484
Size: 1025	Gflop/s: 0.497
