Description:	Simple blocked dgemm.

Size: 511	Gflop/s: 0.497
Size: 512	Gflop/s: 0.443
Size: 513	Gflop/s: 0.494
Size: 543	Gflop/s: 0.51
Size: 544	Gflop/s: 0.515
Size: 545	Gflop/s: 0.503
Size: 575	Gflop/s: 0.494
Size: 576	Gflop/s: 0.501
Size: 577	Gflop/s: 0.504
Size: 607	Gflop/s: 0.492
Size: 608	Gflop/s: 0.51
Size: 609	Gflop/s: 0.498
Size: 639	Gflop/s: 0.494
Size: 640	Gflop/s: 0.484
Size: 641	Gflop/s: 0.495
Size: 671	Gflop/s: 0.489
Size: 672	Gflop/s: 0.506
Size: 673	Gflop/s: 0.487
Size: 703	Gflop/s: 0.481
Size: 704	Gflop/s: 0.506
Size: 705	Gflop/s: 0.483
Size: 735	Gflop/s: 0.481
Size: 736	Gflop/s: 0.51
Size: 737	Gflop/s: 0.481
Size: 767	Gflop/s: 0.487
Size: 768	Gflop/s: 0.466
Size: 769	Gflop/s: 0.483
Size: 799	Gflop/s: 0.484
Size: 800	Gflop/s: 0.505
Size: 801	Gflop/s: 0.485
Size: 831	Gflop/s: 0.477
Size: 832	Gflop/s: 0.506
Size: 833	Gflop/s: 0.478
Size: 863	Gflop/s: 0.477
Size: 864	Gflop/s: 0.506
Size: 865	Gflop/s: 0.483
Size: 895	Gflop/s: 0.478
Size: 896	Gflop/s: 0.479
Size: 897	Gflop/s: 0.479
Size: 927	Gflop/s: 0.479
Size: 928	Gflop/s: 0.506
Size: 929	Gflop/s: 0.48
Size: 959	Gflop/s: 0.481
Size: 960	Gflop/s: 0.509
Size: 961	Gflop/s: 0.482
Size: 991	Gflop/s: 0.483
Size: 992	Gflop/s: 0.51
Size: 993	Gflop/s: 0.484
Size: 1023	Gflop/s: 0.442
Size: 1024	Gflop/s: 0.322
Size: 1025	Gflop/s: 0.446
